Individual{TOC=5387.942225828885, NV=34}
Individual{TOC=5380.3548005788825, NV=41}
Individual{TOC=5214.018645795032, NV=47}
Individual{TOC=5293.254166655276, NV=42}
Individual{TOC=5791.3821128135105, NV=30}
Individual{TOC=5870.708965961374, NV=26}
Individual{TOC=6186.688942878471, NV=23}
Individual{TOC=7034.919514616098, NV=13}
Individual{TOC=6125.449066258296, NV=25}
Individual{TOC=7855.768401300885, NV=11}
Individual{TOC=6458.149503682684, NV=16}
Individual{TOC=6890.353888864482, NV=15}
Individual{TOC=7189.990422368515, NV=12}
Individual{TOC=9338.470185878221, NV=10}
Individual{TOC=6277.849535483577, NV=20}
Individual{TOC=6335.150157139782, NV=19}
